Start Location Name,Latitude,Longitude
Denver Union Station,39.7532165,-105.0024244
Denver Five Points (Franklin St. & East Bruce Randolph Ave),39.7645013,-104.9706009
Denver Eliria-Swansea (Valdez-Perry Library),39.781681,-104.9642657
Denver (Highland),39.7616087,-105.0205767
Denver (Sunny Side),39.7767411,-105.0204411
Aurora (Montclair),39.7327367,-104.9219306
Edgewater (W 20th Ave & Harlan St.),39.7509957,-105.0725648
Lakewood (W Mississippi Ave & S Wadsworth Blvd.),39.6966675,-105.0836318
Arvada (Kipling St & W 72nd Ave.),39.8271535,-105.111823
Westminster (W 92nd Ave & Lowell Blvd),39.8634928,-105.0366314
Thornton (York St & Thornton Pkwy),39.8706143,-104.9611383
Broomfield (Lowell & 136th),39.9431621,-105.0365379
Boulder (University Hill),40.0090099,-105.2803635
Boulder (Dartmonth Avenue & Kohler Drive),39.9890679,-105.2618497
Boulder (30th & Valmont Rd),40.0291998,-105.2558675
